request_id,request_number,student_id,department_id,department_name,request_type,priority,status,assigned_admin_id,assigned_admin_name,created_at,resolved_at,processing_time_minutes,estimated_time_minutes,manual_steps_count,error_count,requires_manual_review,complexity_score,_day
1,REQ-1000,14207,102,Finance,Fee Clarification,High,Approved,9,Timothy Ellis,2025-01-23 13:15,2025-01-23 15:12,78,55,10,1,True,5,2025-01-23
2,REQ-1001,44718,103,Academic Affairs,Scholarship Verification,Medium,Rejected,3,Debra Shaw,2024-08-04 14:15,2024-08-04 16:12,85,60,10,0,True,5,2024-08-04
3,REQ-1002,21915,106,Admissions,Fee Clarification,Low,Rejected,13,Monique Davis,2025-08-21 15:45,2025-08-21 17:04,56,55,10,3,True,5,2025-08-21
4,REQ-1003,79352,102,Finance,Document Verification,High,Pending,2,Christopher Baker,2025-11-27 15:00,2025-11-27 16:32,63,65,12,3,True,5,2025-11-27
5,REQ-1004,69470,107,International Office,ID Card Reissue,Low,Approved,7,Andrew Carlson,2025-11-27 10:30,2025-11-27 11:33,45,25,4,0,False,2,2025-11-27
6,REQ-1005,80697,105,Student Services,Course Add/Drop,Low,Resolved,5,Samuel Richardson,2025-06-03 10:30,2025-06-03 11:17,32,35,6,0,False,3,2025-06-03
7,REQ-1006,84364,103,Academic Affairs,Enrollment Letter,Low,Approved,10,Christopher Jones,2024-01-20 10:30,2024-01-20 11:16,25,30,5,0,False,2,2024-01-20
8,REQ-1007,31643,106,Admissions,Document Verification,High,Pending,13,Monique Davis,2024-03-11 17:15,2024-03-11 18:40,55,65,12,3,True,5,2024-03-11
9,REQ-1008,67422,107,International Office,ID Card Reissue,Critical,Resolved,14,Michael Pearson,2024-08-04 17:15,2024-08-04 18:11,30,25,4,0,False,2,2024-08-04
10,REQ-1009,92719,102,Finance,Document Verification,Low,Approved,2,Christopher Baker,2024-03-06 14:00,2024-03-06 15:34,64,65,12,3,True,5,2024-03-06
11,REQ-1010,27342,101,Registrar,Fee Clarification,Critical,Approved,1,Jason West,2024-12-04 10:15,2024-12-04 11:43,54,55,10,0,True,5,2024-12-04
12,REQ-1011,63883,107,International Office,Fee Clarification,Critical,Approved,14,Michael Pearson,2025-02-20 12:00,2025-02-20 13:51,82,55,10,2,True,5,2025-02-20
13,REQ-1012,68800,106,Admissions,Leave Request,Medium,Approved,6,Sheila Curry,2024-03-03 15:30,2024-03-03 16:31,46,45,8,0,False,3,2024-03-03
14,REQ-1013,95477,102,Finance,Scholarship Verification,Low,Approved,9,Timothy Ellis,2025-04-18 12:00,2025-04-18 13:48,64,60,10,5,True,5,2025-04-18
15,REQ-1014,31579,107,International Office,Document Verification,Critical,Pending,7,Andrew Carlson,2024-06-19 15:45,2024-06-19 17:54,103,65,12,3,True,5,2024-06-19
16,REQ-1015,17665,104,IT Support,Leave Request,Low,Approved,11,Rachael Hill,2025-04-10 13:45,2025-04-10 14:41,32,45,8,2,True,4,2025-04-10
17,REQ-1016,18981,101,Registrar,Transcript Request,Low,Resolved,1,Jason West,2025-08-21 16:15,2025-08-21 17:15,38,40,7,4,True,4,2025-08-21
18,REQ-1017,78522,104,IT Support,Fee Clarification,High,Rejected,4,Megan Mendoza,2025-08-06 12:00,2025-08-06 13:30,70,55,10,2,True,5,2025-08-06
19,REQ-1018,51441,102,Finance,Course Add/Drop,Low,Approved,9,Timothy Ellis,2024-09-01 13:45,2024-09-01 14:37,22,35,6,0,False,3,2024-09-01
20,REQ-1019,42018,104,IT Support,Leave Request,High,Resolved,4,Megan Mendoza,2024-03-16 17:15,2024-03-16 17:50,18,45,8,0,False,3,2024-03-16
21,REQ-1020,27601,102,Finance,Course Add/Drop,High,Pending,9,Timothy Ellis,2025-07-10 13:00,2025-07-10 14:05,30,35,6,1,True,4,2025-07-10
22,REQ-1021,44600,101,Registrar,Document Verification,Critical,Resolved,1,Jason West,2024-10-05 13:15,2024-10-05 14:51,75,65,12,3,True,5,2024-10-05
23,REQ-1022,93507,107,International Office,Course Add/Drop,High,Resolved,7,Andrew Carlson,2024-04-04 15:30,2024-04-04 16:45,69,35,6,0,False,3,2024-04-04
24,REQ-1023,81511,106,Admissions,IT Support,Low,Pending,13,Monique Davis,2025-07-18 15:00,2025-07-18 15:42,32,30,5,0,False,2,2025-07-18
25,REQ-1024,37535,105,Student Services,Transcript Request,Medium,Resolved,5,Samuel Richardson,2025-03-16 11:00,2025-03-16 11:56,31,40,7,1,True,4,2025-03-16
26,REQ-1025,13248,103,Academic Affairs,Document Verification,Medium,Resolved,10,Christopher Jones,2025-09-27 11:15,2025-09-27 13:32,102,65,12,1,True,5,2025-09-27
27,REQ-1026,15075,107,International Office,Transcript Request,Critical,Approved,14,Michael Pearson,2025-11-16 12:30,2025-11-16 14:01,56,40,7,0,False,3,2025-11-16
28,REQ-1027,53025,102,Finance,Fee Clarification,High,Approved,9,Timothy Ellis,2024-12-24 13:15,2024-12-24 14:35,68,55,10,3,True,5,2024-12-24
29,REQ-1028,44237,107,International Office,Document Verification,Medium,Resolved,14,Michael Pearson,2024-12-25 17:45,2024-12-25 19:31,91,65,12,4,True,5,2024-12-25
30,REQ-1029,25157,103,Academic Affairs,Enrollment Letter,Critical,Pending,3,Debra Shaw,2024-04-21 15:30,2024-04-21 16:18,20,30,5,0,False,2,2024-04-21
31,REQ-1030,97062,102,Finance,Enrollment Letter,High,Approved,9,Timothy Ellis,2024-02-15 15:00,2024-02-15 16:02,40,30,5,0,False,2,2024-02-15
32,REQ-1031,82667,103,Academic Affairs,Enrollment Letter,Medium,Resolved,3,Debra Shaw,2024-11-03 17:30,2024-11-03 18:37,39,30,5,0,False,2,2024-11-03
33,REQ-1032,37549,104,IT Support,Fee Clarification,Critical,Approved,11,Rachael Hill,2025-11-24 11:30,2025-11-24 13:29,85,55,10,2,True,5,2025-11-24
34,REQ-1033,32241,105,Student Services,Enrollment Letter,Low,Resolved,12,Fred Park,2025-04-21 16:45,2025-04-21 17:52,40,30,5,0,False,2,2025-04-21
35,REQ-1034,16057,105,Student Services,Course Add/Drop,Medium,Approved,12,Fred Park,2024-04-05 12:30,2024-04-05 13:51,44,35,6,0,False,3,2024-04-05
36,REQ-1035,95990,105,Student Services,Hostel Allocation,Low,Approved,5,Samuel Richardson,2025-04-11 15:15,2025-04-11 16:25,38,50,7,0,False,3,2025-04-11
37,REQ-1036,25906,107,International Office,Document Verification,Critical,Pending,14,Michael Pearson,2024-08-12 11:45,2024-08-12 13:29,81,65,12,4,True,5,2024-08-12
38,REQ-1037,65933,107,International Office,IT Support,Critical,Resolved,14,Michael Pearson,2025-11-14 17:30,2025-11-14 18:44,36,30,5,0,False,2,2025-11-14
39,REQ-1038,41358,106,Admissions,IT Support,High,Rejected,13,Monique Davis,2025-04-05 13:15,2025-04-05 14:22,30,30,5,0,False,2,2025-04-05
40,REQ-1039,40311,101,Registrar,Hostel Allocation,Critical,Approved,8,Angela Odonnell,2024-08-28 13:30,2024-08-28 14:51,49,50,7,1,True,4,2024-08-28
41,REQ-1040,37110,106,Admissions,IT Support,Critical,Approved,6,Sheila Curry,2024-03-06 15:45,2024-03-06 16:39,22,30,5,0,False,2,2024-03-06
42,REQ-1041,64921,107,International Office,Scholarship Verification,Medium,Resolved,7,Andrew Carlson,2025-08-12 15:45,2025-08-12 17:44,103,60,10,3,True,5,2025-08-12
43,REQ-1042,62994,102,Finance,Hostel Allocation,Medium,Resolved,9,Timothy Ellis,2025-03-22 16:00,2025-03-22 17:22,55,50,7,1,True,4,2025-03-22
44,REQ-1043,44099,102,Finance,Hostel Allocation,Critical,Approved,2,Christopher Baker,2025-02-07 09:00,2025-02-07 10:27,65,50,7,3,True,4,2025-02-07
45,REQ-1044,20735,102,Finance,Transcript Request,Critical,Approved,9,Timothy Ellis,2024-11-30 14:45,2024-11-30 16:07,45,40,7,2,True,4,2024-11-30
46,REQ-1045,36130,106,Admissions,Leave Request,Low,Pending,6,Sheila Curry,2024-12-24 12:00,2024-12-24 13:10,40,45,8,1,True,4,2024-12-24
47,REQ-1046,58351,102,Finance,Enrollment Letter,Medium,Approved,2,Christopher Baker,2024-05-09 16:00,2024-05-09 17:13,48,30,5,0,False,2,2024-05-09
